name,smiles,tanimoto_combo_legacy,tanimoto_combination,tanimoto_shape,tanimoto_color,overlap_volume,overlap_color,self_overlap_volume_query,self_overlap_volume_fit,self_overlap_color_query,self_overlap_color_fit,RefTversky_volume,RefTversky_color,FitTversky_volume,FitTversky_color,RefTverskyCombo,FitTverskyCombo
CHEMBL4176631,S=C(SSc1ccccn1)N1CCc2ccccc2C1,1.1794648,0.5897324,0.67340565,0.5060592,810.8754,28.486366,1134.4746,880.54193,42.087975,42.68897,0.723,0.676,0.908,0.668,1.399,1.576
CHEMBL3343277,NS(=O)(=O)c1ccc(CC/N=C/c2c(F)c(F)cc(F)c2F)cc1,1.1794579,0.58972895,0.6878145,0.4916435,902.1164,29.640518,1134.4746,1079.2112,42.087975,47.841187,0.797,0.699,0.834,0.623,1.497,1.457
CHEMBL3806265,NC(=O)c1ccc(Oc2cncc3sc(C(N)=O)cc23)cc1,1.1794541,0.58972704,0.75897115,0.42048296,932.2134,26.608435,1134.4746,1025.9979,42.087975,47.801105,0.826,0.628,0.904,0.56,1.454,1.464
CHEMBL1224573,Nc1ccn(C/C=C\CNC(=O)c2ccc(F)cc2)c(=O)n1,1.1794494,0.5897247,0.6974456,0.48200384,880.1298,26.814413,1134.4746,1007.58856,42.087975,40.35756,0.78,0.638,0.868,0.663,1.419,1.531
CHEMBL166624,Cc1csc2ncnc(NCc3ccc(Cl)cc3)c12,1.1794469,0.58972347,0.7235723,0.45587465,839.3757,27.9605,1134.4746,864.94507,42.087975,47.20628,0.749,0.66,0.956,0.596,1.409,1.551
CHEMBL2218378,CN1C[C@@H](C(=O)NCc2ccc(Cl)c(C(F)(F)F)c2)N(C)C1=O,1.179444,0.589722,0.5916316,0.58781236,813.5938,28.270382,1134.4746,1054.2888,42.087975,34.276638,0.72,0.678,0.769,0.815,1.398,1.584
CHEMBL164211,COc1cc(Cc2ccccc2)ccc1OCCN1CCCC1,1.1794406,0.5897203,0.79091954,0.38852105,961.80414,27.880577,1134.4746,1043.3877,42.087975,57.55339,0.851,0.65,0.918,0.491,1.502,1.409
CHEMBL4533598,O=C(Nc1cccs1)c1ccccc1Sc1ccc([N+](=O)[O-])cc1,1.1794397,0.58971983,0.7582304,0.42120928,960.9182,29.6926,1134.4746,1093.7605,42.087975,58.098316,0.849,0.692,0.877,0.518,1.541,1.395
CHEMBL1813949,O=C(/C=C/c1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1,1.1794343,0.58971715,0.7497714,0.42966288,880.00775,31.837875,1134.4746,919.23456,42.087975,63.849564,0.783,0.737,0.946,0.507,1.521,1.454
CHEMBL3260805,O=C1O[C@@H](c2ccccc2Cl)CN1c1cccc(N2CCNCC2)c1,1.179429,0.5897145,0.7436866,0.43574238,983.48926,26.656248,1134.4746,1171.4658,42.087975,45.742603,0.866,0.631,0.841,0.585,1.496,1.426
CHEMBL390284,CCOC(=O)C1=CCCC[C@@H]1S(=O)(=O)Nc1ccc(C)cc1Cl,1.179427,0.5897135,0.7430573,0.43636975,911.6433,29.616758,1134.4746,1004.05023,42.087975,55.39958,0.808,0.693,0.902,0.541,1.501,1.443
CHEMBL2430866,Cc1csc(Nc2ncccc2OCc2cccc(O)c2)n1,1.1794177,0.58970886,0.6995095,0.47990826,883.829,27.93592,1134.4746,1012.8524,42.087975,44.058903,0.783,0.662,0.867,0.635,1.445,1.503
CHEMBL4203151,O=C(CCCCCc1ccccc1)N1CCOC1=O,1.1794122,0.5897061,0.7085479,0.47086433,823.3374,29.32153,1134.4746,850.8695,42.087975,49.505272,0.735,0.691,0.952,0.597,1.426,1.549
CHEMBL231069,O=C(c1ccc(F)c(Cl)c1)N1CCC(F)(CNCc2ncccn2)CC1,1.1794116,0.5897058,0.7311332,0.4482784,983.6484,26.267223,1134.4746,1194.5488,42.087975,42.77503,0.865,0.624,0.826,0.615,1.488,1.44
CHEMBL5439124,CCc1cncc(-c2cnc(N[C@H](C)c3ccc(F)cc3)cn2)c1,1.1794035,0.5897018,0.7264844,0.45291913,945.69965,28.940859,1134.4746,1112.9731,42.087975,50.7514,0.834,0.681,0.849,0.575,1.515,1.424
CHEMBL144898,O=C1OCc2ccc(OCc3ccccc3)cc21,1.1793964,0.5896982,0.64839345,0.53100294,780.7298,31.646217,1134.4746,850.35406,42.087975,49.155308,0.697,0.746,0.903,0.648,1.443,1.551
CHEMBL201340,Clc1ccc(Nc2nccs2)cc1OCC1=CCCC1,1.1793952,0.5896976,0.62160254,0.5577927,778.9226,29.766642,1134.4746,897.5359,42.087975,41.043728,0.694,0.708,0.857,0.724,1.402,1.581
CHEMBL5079698,O=c1cc(C(F)(F)F)c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2o1,1.1793904,0.5896952,0.6542104,0.52518004,957.07404,32.046623,1134.4746,1285.5447,42.087975,50.978912,0.838,0.753,0.749,0.634,1.592,1.383
CHEMBL435109,COc1cccc(C(=O)C(=O)c2cccc(OC)c2)c1,1.1793865,0.58969325,0.7132748,0.4661117,854.919,27.781252,1134.4746,919.0272,42.087975,45.29541,0.761,0.658,0.919,0.616,1.418,1.535
CHEMBL272279,C[C@H]1Cn2nc(C(=O)NCc3ccc(F)cc3)c(O)c2C(=O)N1C,1.1793847,0.58969235,0.72558385,0.4538009,952.174,25.173492,1134.4746,1129.9861,42.087975,38.55807,0.839,0.601,0.842,0.65,1.44,1.492
CHEMBL268141,CC(C)(C)NC[C@@H](O)COC(=O)c1ccccc1Cl,1.1793818,0.5896909,0.7180761,0.4613057,818.51544,26.768778,1134.4746,823.9137,42.087975,42.70908,0.732,0.636,0.975,0.627,1.367,1.602
CHEMBL551588,Cc1ccccc1C(=O)N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21,1.1793814,0.5896907,0.7555357,0.4238457,970.01764,32.877987,1134.4746,1119.4236,42.087975,68.36066,0.856,0.758,0.866,0.49,1.613,1.356
CHEMBL2152433,N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1Cl,1.179374,0.589687,0.73968005,0.4396939,1017.9473,33.878483,1134.4746,1259.6721,42.087975,68.84066,0.892,0.78,0.812,0.502,1.673,1.314
CHEMBL382498,N#Cc1ccc(NC(=O)c2csc(Cc3c(Cl)cccc3Cl)n2)cc1,1.1793721,0.58968604,0.6145763,0.56479573,862.1258,35.55069,1134.4746,1130.4482,42.087975,56.407043,0.76,0.831,0.763,0.638,1.591,1.401
CHEMBL1775034,C[C@@H](Cn1ncc2c(Nc3cccc(Cl)c3)ncnc21)c1ccccc1,1.1793678,0.5896839,0.69299203,0.48637575,965.74243,34.8044,1134.4746,1224.8516,42.087975,64.27509,0.848,0.806,0.791,0.551,1.654,1.342
CHEMBL2418041,[H]/N=C(/N)c1ccc(OCc2ccc([N+](=O)[O-])cc2)c(I)c1,1.1793659,0.58968294,0.7173726,0.46199322,899.4456,27.125444,1134.4746,1018.77625,42.087975,43.751415,0.797,0.643,0.878,0.621,1.44,1.499
CHEMBL1644707,Cc1cccc(OCc2nn3c(=O)cc(C)nc3s2)c1,1.1793656,0.5896828,0.6983418,0.48102385,848.91034,26.249397,1134.4746,930.0443,42.087975,38.731266,0.755,0.626,0.903,0.675,1.381,1.578
CHEMBL4105552,O=[N+]([O-])c1cc(Cl)cc2c1NC[C@H]1C2=NN[C@H]1c1ccc(F)cc1,1.1793563,0.58967817,0.74333614,0.4360202,974.1231,25.471874,1134.4746,1150.123,42.087975,41.80292,0.858,0.605,0.848,0.609,1.463,1.457
CHEMBL3964242,CCCCCOc1c(O)cc(Br)c2c1CN1CCc3cc(OC)c(O)cc3[C@@H]1C2,1.1793448,0.5896724,0.77790695,0.40143785,1074.4904,30.558783,1134.4746,1321.2739,42.087975,64.59413,0.939,0.707,0.819,0.481,1.647,1.3
CHEMBL271481,O=C(Nc1nncs1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12,1.1793376,0.5896688,0.72983664,0.44950095,1012.6895,32.27528,1134.4746,1265.7712,42.087975,61.989784,0.888,0.749,0.804,0.529,1.637,1.333
CHEMBL4453068,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,1.179335,0.5896675,0.75670123,0.4226338,966.71356,26.900726,1134.4746,1109.7756,42.087975,48.46295,0.853,0.634,0.87,0.559,1.487,1.429
CHEMBL5285133,Cc1ccc(Nc2nc(N)nc3cc(-c4ccccc4)nn23)cc1,1.1793327,0.58966637,0.74652636,0.4328064,981.0128,31.788713,1134.4746,1160.6416,42.087975,63.14862,0.864,0.737,0.846,0.512,1.601,1.358
CHEMBL4871707,Cc1cccc(Cc2c3cccn3c3ccc(C(F)(F)F)cc3[n+]2C)c1,1.1793292,0.5896646,0.77839273,0.4009364,1044.9314,28.670164,1134.4746,1252.8787,42.087975,58.090206,0.916,0.668,0.838,0.5,1.585,1.338
CHEMBL1555332,CCCCc1nn2c(=O)cc(CN(CC)c3ccccc3)nc2s1,1.1793194,0.5896597,0.6939632,0.4853562,911.7925,28.397568,1134.4746,1091.2095,42.087975,44.818306,0.805,0.673,0.834,0.636,1.478,1.469
